,,,,,Alpha,Alpha Chi,Alpha Delta,Alpha Epsilon,Alpha Gamma,Alpha Lambda,Alpha Mu,Alpha Nu,Alpha Phi,Alpha Pi,Alpha Psi,Alpha Rho,Alpha Theta,Beta Chi,Beta Eta,Beta Gamma,Beta Nu,Beta Phi,Beta Sigma,Beta Upsilon,Beta Zeta,Chi Epsilon,Chi Lambda,Chi Phi,Chi Psi,Chi Theta,Delta,Delta Beta,Delta Delta,Delta Epsilon,Delta Gamma,Delta Kappa,Delta Lambda,Delta Nu,Delta Omega,Delta Pi,Delta Rho,Delta Sigma,Delta Tau,Delta Theta,Delta Xi,Epsilon Alpha,Epsilon Chi,Epsilon Gamma,Epsilon Omega,Epsilon Sigma,Gamma,Gamma Alpha,Gamma Delta,Gamma Omicron,Gamma Phi,Gamma Sigma,Gamma Theta,Iota,Iota Sigma,Iota Theta,Kappa Alpha,Kappa Chi,Kappa Delta,Kappa Gamma,Kappa Kappa,Kappa Omega,Kappa Omicron,Kappa Rho,Kappa Sigma,Kappa Tau,Lambda Alpha,Lambda Beta,Lambda Chi,Lambda Delta,Lambda Eta,Lambda Iota,Lambda Lambda,Lambda Omicron,Lambda Rho,Lambda Sigma,Lambda Tau,Lambda Upsilon,Mu Lambda,Nu Beta,Nu Omega,Nu Omicron,Omega,Omega Sigma,Omega Upsilon,Omicron,Omicron Pi,Phi Alpha,Phi Beta,Phi Chi,Phi Delta,Phi Gamma,Phi Lambda,Phi Sigma,Phi Upsilon,Pi Alpha,Pi Delta,Pi Omicron,Pi Theta,Rho Beta,Rho Delta,Rho Omicron,Sigma Alpha,Sigma Beta,Sigma Chi,Sigma Delta,Sigma Gamma,Sigma Omicron,Sigma Phi,Sigma Rho,Sigma Tau,Sigma Theta,Tau Delta,Tau Gamma,Tau Lambda,Tau Mu,Tau Omega,Tau Omicron,Theta Beta,Theta Chi,Theta Iota,Theta Omega,Theta Pi,Theta Psi,Theta Sigma,Upsilon,Upsilon Beta,Upsilon Lambda,Xi,Xi Omicron,Xi Rho,Zeta,Zeta Pi,Zeta Psi,Zeta Theta,ZZ - Delta Psi,ZZ - Sigma,ZZ - Tau (TN),Unclassified,TOTAL
,,Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CONTRACT FEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Licenses and Permits,0,50,630,0,210,0,0,0,92,0,0,0,0,0,0,0,0,120,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1402.02,0,0,0,0,0,0,0,0,0,0,0,1347,0,0,0,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,428.8,0,0,1200,0,0,0,0,0,0,0,0,425,0,544,0,24,1836,100,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,2087.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,0,0,350,2193.7,0,88,0,5,0,0,0,0,0,17178.2
,,,,Postage expense,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,47,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.85
,,,,Professional Fees,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,1025.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,685,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5577.03
,,,,Publications and Printing,0,0,0,0,0,0,0,0,244.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.94,0,0,0,0,0,0,0,0,40.95,0,0,127.15,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,695.59
,,,Total PROFESSIONAL AND ADMIN,,-88.43,1546.51,37463.95,105.57,7308.14,3332.95,262.48,108.88,5827.15,18513.88,114.59,3187.74,-33.28,-14.19,301.3,9.74,1030.22,19407.9,37.84,277.09,603.64,492.59,-46.54,105.2,2201.61,206.47,240.31,912.1,1088.37,258.76,1864.82,-75.67,84.97,2478.75,286.46,-44.25,131.39,2158.42,311.05,752.94,64.5,485.21,273.6,57.68,-23.74,53.41,207.83,494.73,627.55,17513.96,224.39,405,946.51,3718.84,6986.25,221.42,238.18,613.36,124.91,48.43,551.32,8093.36,1012.39,4283.69,8.13,277.38,-5.13,360.46,214.01,150.04,2406.23,402.91,520.13,88.42,1320.28,7532.57,623.35,4564.73,246.7,21994.27,-48.89,2501.74,336.1,4506.91,7473.28,5373.4,4103.66,451.69,83.31,-51.68,183.55,4707.56,238.57,229.89,89.91,543.61,9906.98,340.14,480.44,293.87,796.36,-46.56,1782.02,89.75,2645.19,113.26,474.39,586.51,1784.9,86.19,-15.6,298.83,-32.6,1843.18,-5.13,4117.25,180.55,466.04,110.61,35.61,504.61,298,123.92,-8.53,65.39,487.08,118.08,98.94,11053.53,19556.88,-73.34,-269.18,-62.38,5962.96,2165.88,0,0,0,0,297715.31
,,,RENT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rent,0,7926.96,139290.32,0,0,0,0,0,0,489258.48,7200,80986.46,0,0,0,85943.25,0,308999.97,0,0,0,140400,6649,0,31950,0,0,10,0,0,0,3814,0,0,6300,0,0,234956.1,2400,5480,0,4944,0,23400,2400,0,0,0,3994.64,59916,0,0,0,177675.03,77249.97,0,2700,0,0,0,0,170462.79,34762.5,90000,0,0,0,38625.03,0,0,104387.72,0,0,0,7450,0,0,0,0,0,0,3417.12,21647,386250.03,91036.53,0,80364.36,0,0,1510,0,30899.97,0,0,105000.03,7704,146774.97,7200,1100,0,0,0,38625.03,0,49848.57,0,0,0,0,0,0,0,0,19312.47,0,18850,200,0,0,0,259,0,0,0,0,318269.97,3438,0,333431.17,312699.97,0,0,0,100498.52,55800,0,0,0,0,4483668.93
,,,,Storage Unit,3021,0,4448.72,0,0,1590,0,789.46,0,372.6,0,0,0,0,0,0,1228.06,0,0,810,1861,0,600,0,0,680,0,1684.55,540,0,0,2529,854,770.08,540,0,569.7,0,630,1095,0,0,1153,0,153,0,405,2977,0,1017.33,1260,660,0,0,0,999.24,540,866.5,436.06,0,339,0,392,0,585,765,1230,894,0,1605,0,2602.84,898.65,738,1701,0,0,0,0,0,1309.6,1974.56,0,894.55,0,600,0,0,477,819,522,227.98,112.96,411.61,0,0,0,450,0,1349.5,0,0,0,0,0,0,0,0,0,508.8,192,0,0,0,381.6,0,0,120,1287.09,0,2100.17,657,0,0,0,294,0,1674,953.2,2024,1740,0,1161,0,540,0,0,0,0,69612.41
,,,Total RENT.,,3021,7926.96,143739.04,0,0,1590,0,789.46,0,489631.08,7200,80986.46,0,0,0,85943.25,1228.06,308999.97,0,810,1861,140400,7249,0,31950,680,0,1694.55,540,0,0,6343,854,770.08,6840,0,569.7,234956.1,3030,6575,0,4944,1153,23400,2553,0,405,2977,3994.64,60933.33,1260,660,0,177675.03,77249.97,999.24,3240,866.5,436.06,0,339,170462.79,35154.5,90000,585,765,1230,39519.03,0,1605,104387.72,2602.84,898.65,738,9151,0,0,0,0,0,1309.6,5391.68,21647,387144.58,91036.53,600,80364.36,0,477,2329,522,31127.95,112.96,411.61,105000.03,7704,146774.97,7650,1100,1349.5,0,0,38625.03,0,49848.57,0,0,0,0,508.8,192,0,0,19312.47,381.6,18850,200,120,1287.09,0,2359.17,657,0,0,0,318563.97,3438,1674,334384.37,314723.97,1740,0,1161,100498.52,56340,0,0,0,0,4553281.34
,,,SUPPLIES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cleaning Supplies - House,0,0,3296.49,0,0,0,0,0,341.07,2138.76,35.23,69.4,0,0,0,0,0,554.34,0,0,0,0,0,0,0,0,93.48,0,0,0,0,0,0,0,42.92,0,0,1122.49,0,0,0,0,0,0,0,0,0,0,0,783.93,0,167.9,0,2172.64,131.66,0,0,0,0,0,0,23.3,0,954.77,0,0,0,0,0,0,74.92,0,0,0,0,365.98,0,111.21,0,122.39,0,0,0,1315.54,0,1053.29,0,0,0,0,0,0,0,451.84,1440.99,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,1159.61,0,0,0,0,0,0,0,0,0,0,0,50.69,0,0,1994.07,402.55,0,1984.44,0,0,0,0,0,0,0,22619.9
,,,,Kitchen Supplies,0,0,3260.82,0,1234.55,0,0,0,6784.2,3356.19,464.77,0,0,0,0,158.98,0,1472.04,0,0,0,599.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119.36,0,0,0,0,0,0,0,0,0,0,0,13107.51,0,27.75,0,8581.37,78.68,0,0,0,0,0,0,4507.91,0,962.97,0,0,0,0,0,0,0,0,0,0,0,7184.04,0,12428.35,0,12005.3,0,0,0,3140.23,5091.43,5378.69,0,0,0,0,0,0,0,0,3569.93,0,1017,0,0,0,0,0,613.1,0,525.59,0,0,0,0,0,0,0,0,316.87,0,0,0,0,0,0,0,0,0,0,0,8042.22,0,0,11896.26,14578.31,0,8231.65,0,54.18,0,0,0,0,0,139789.83
,,,,Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64.07,0,0,0,0,0,0,0,0,0,0,0,0,0,-64.07
,,,Total SUPPLIES.,,0,0,6557.31,0,1234.55,0,0,0,7125.27,5494.95,500,69.4,0,0,0,158.98,0,2026.38,0,0,0,599.58,0,0,0,0,93.48,0,0,0,0,0,0,0,42.92,0,0,2241.85,0,0,0,0,0,0,0,0,0,0,0,13891.44,0,195.65,0,10754.01,210.34,0,0,0,0,0,0,4531.21,0,1917.74,0,0,0,0,0,0,74.92,0,0,0,0,7550.02,0,12539.56,0,12127.69,0,0,0,4455.77,5091.43,6431.98,0,0,0,0,0,0,0,451.84,5010.92,0,1017,0,0,0,0,0,777.1,0,525.59,0,0,0,0,0,0,0,0,1476.48,0,0,0,0,0,0,0,0,0,0,0,8028.84,0,0,13890.33,14980.86,0,10216.09,0,54.18,0,0,0,0,0,162345.66
,,,TRAVEL.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Travel,0,0,719.53,0,294.47,947.05,0,0,976.7,761.63,0,0,0,0,0,0,0,244.47,0,0,0,0,0,0,0,0,317.98,0,0,0,0,0,0,0,0,0,0,966.68,113.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621.59,1044.12,0,0,0,0,0,25.45,278.84,0,0,0,0,0,828.77,0,0,0,0,0,0,0,239.53,0,0,0,635.82,0,0,0,542.67,740.3,647.62,0,0,0,0,0,0,0,0,244.47,0,606.67,0,0,0,0,0,0,0,528.18,0,0,0,0,0,0,0,0,896.5,0,0,0,0,0,0,0,0,0,0,0,993.9,0,0,623.08,988.54,0,863.75,0,816.9,0,0,0,0,0,17508.65
,,,Total TRAVEL.,,0,0,719.53,0,294.47,947.05,0,0,976.7,761.63,0,0,0,0,0,0,0,244.47,0,0,0,0,0,0,0,0,317.98,0,0,0,0,0,0,0,0,0,0,966.68,113.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621.59,1044.12,0,0,0,0,0,25.45,278.84,0,0,0,0,0,828.77,0,0,0,0,0,0,0,239.53,0,0,0,635.82,0,0,0,542.67,740.3,647.62,0,0,0,0,0,0,0,0,244.47,0,606.67,0,0,0,0,0,0,0,528.18,0,0,0,0,0,0,0,0,896.5,0,0,0,0,0,0,0,0,0,0,0,993.9,0,0,623.08,988.54,0,863.75,0,816.9,0,0,0,0,0,17508.65
,,,UTILITIES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Alarm System-Monthly Monitoring,0,660,0,0,0,600,0,0,600,664.22,0,0,0,0,0,0,0,237.83,0,0,0,691.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,520.15,0,0,0,0,0,0,0,344.12,0,0,0,0,0,0,0,0,0,0,0,0,324.48,0,0,0,1044.32,0,0,0,0,644.56,0,0,0,0,0,0,239.7,0,0,132,0,735.41,0,0,0,0,0,522.44,0,394.2,0,0,0,0,0,0,0,0,240,0,0,0,149.97,0,0,0,0,0,0,0,765,0,0,893.58,623.4,0,0,0,300,0,0,0,0,0,12899.12
,,,,Cable,0,1873.78,4080,0,2109.49,1380.34,0,0,737.85,1302.96,0,150.46,0,0,0,1023.41,0,966.61,0,0,0,1399.11,0,0,683.43,0,1070.38,0,0,0,0,240,0,0,549.43,0,0,900.49,0,0,0,0,0,1212.01,0,981.11,0,0,0,6556.66,0,0,0,1249.8,857.12,0,0,648.59,0,0,0,1619.51,210.8,1735.57,0,640.64,0,1161.66,0,0,797.55,0,0,0,0,1074.96,0,1045.98,0,4304.4,0,1480.11,0,341,3909.36,2911.8,1435.63,0,0,0,0,856.79,0,0,1042.81,0,1405.21,0,0,0,0,0,2946.02,0,566.32,0,0,0,1091.22,0,0,0,0,584.48,0,0,0,52.48,0,0,0,0,0,0,0,2020.29,0,0,7019.28,2025.01,0,1249.79,0,906.03,1346.06,0,0,0,0,75753.79
,,,,Circuit and Alarm,0,836.86,8554.2,0,1644,1133.41,0,0,2506,2446.99,0,0,0,0,0,1389.8,0,3420.9,0,0,0,0,0,0,0,0,0,578.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2446.43,0,0,0,4360.44,0,0,0,0,0,0,0,17.5,0,597.19,0,0,0,0,0,0,0,0,0,0,0,515.9,0,0,0,6247.99,0,79.24,0,5666.36,1257.29,147,350,0,0,0,0,0,0,0,375.4,0,2215.21,0,0,0,0,0,331.74,0,0,0,0,0,325.33,0,0,0,0,157.62,0,0,0,6229.75,0,0,0,0,0,0,0,1282.32,0,0,2484.15,0,0,0,0,330,0,0,0,0,0,57927.52
,,,,Electricity,0,3488.9,19598.85,0,7908.65,10779,0,0,5701.39,18021.34,0,2552.06,0,0,0,4730.37,0,52238.93,0,0,0,10809.57,0,0,1413.05,0,0,997.36,0,0,0,0,0,0,0,0,0,11627.17,0,0,0,0,0,2200.26,0,0,0,0,0,17392.83,0,0,0,9270.35,8920.5,0,0,369.95,0,0,0,17756.02,1223.68,7606.71,0,0,0,2208.62,0,0,4922.91,0,0,0,0,30663.63,0,0,0,9811.08,0,2821.29,0,12014,9232.06,25200.05,349.68,0,0,0,0,2543.02,0,0,13091.11,0,11006.1,0,0,0,0,0,6775.89,0,2366.13,0,0,0,1199.74,0,0,0,0,1374.04,0,0,0,813.03,0,0,0,0,0,0,0,6923.2,0,0,15999.67,33320.56,0,8924.9,0,7428.41,4262.79,0,0,0,0,427858.85
,,,,Gas,0,459.9,3237.54,0,4395.47,566.63,0,0,4329.42,2744.21,0,1341.1,0,0,0,2449.45,0,4136.46,0,0,0,806.07,0,0,670.14,0,0,0,0,0,0,0,0,0,0,0,0,2060.29,0,0,0,0,0,601.64,0,0,0,0,0,1421.45,0,0,0,5817.61,2773.84,0,0,314.68,0,0,0,520,524.55,1147.79,0,0,0,439.02,0,0,1284.73,0,0,0,0,2287.32,0,0,0,679.88,0,1351.34,0,2077.67,3419.12,2822.2,4119.37,0,0,0,0,1123,0,0,7128.33,0,4727.71,0,0,0,0,0,2444.54,0,2018.42,0,0,0,567.45,0,0,0,0,2196.94,0,0,0,0,0,0,0,0,0,0,0,3739.8,0,0,2640.64,2695.04,0,678.25,0,2408.28,1963.06,0,0,0,0,93130.35
,,,,House Phone,0,601.56,2366.36,0,2462.15,62.95,0,0,509.34,1165.73,0,0,0,0,0,-681.56,0,0,0,0,0,1408.44,0,0,0,0,0,445.72,0,0,0,0,0,0,0,0,0,1244.66,0,0,0,0,0,0,0,0,0,0,0,5334.4,0,0,0,4303.34,1304.88,0,0,0,0,0,0,680.67,1447.53,0,0,0,0,498.64,0,0,0,0,0,0,0,1971.38,0,0,0,0,0,0,0,0,690.03,0,0,0,0,0,0,563.32,0,0,680.93,0,1236.81,0,0,0,0,0,190.3,0,0,0,0,0,0,0,0,0,0,1458.56,0,0,0,51.4,0,0,0,0,0,0,0,906.73,0,0,468.09,4777.05,0,1077.49,0,0,0,0,0,0,0,37226.9
,,,,Internet,0,699.75,1925,0,9000,3344.39,0,0,1459.79,1519.2,0,1253.55,0,0,0,1810.17,0,2123.4,0,0,0,3059.91,0,0,1406.34,0,1352.06,919.6,0,0,0,0,0,0,431.91,0,0,2354.2,0,0,0,0,0,889.98,0,686.5,0,0,0,806.39,0,0,0,9480.99,2678.89,0,0,691.2,0,0,0,4549.5,1406.52,2360,0,0,0,224.91,0,0,4246.2,0,0,0,0,822.82,0,0,0,2242.51,0,340.18,0,3149.55,3917.79,0,2504.72,0,0,0,0,629.82,0,0,2337.95,0,1919.84,0,0,0,0,0,5381.81,0,1425,0,0,0,463,0,0,0,0,852.54,0,0,0,79.99,0,0,0,0,0,0,0,2327.05,0,0,2294.55,0,0,5850,0,2297.35,1266.68,0,0,0,0,100783.5
,,,,Recycling,0,0,0,0,370.39,0,0,0,515,357.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2852.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.76,0,0,0,0,0,0,0,5160.31
,,,,Security,0,0,28174.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8499.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36673.7
,,,,Telephone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659.14,0,2486.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697.64,0,0,0,1123.84,0,0,0,0,0,0,0,0,0,0,0,0,0,4843.95,0,0,0,458.09,2183.74,0,667.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911.78,0,0,0,0,0,0,0,0,0,0,16475.43
,,,,Trash removal,0,695.43,65.09,0,3275.45,457.38,0,0,1150.54,3169.92,0,1125.94,0,0,0,879,0,2028.92,0,0,0,1800,0,149,558.02,0,0,0,0,0,0,0,0,0,0,0,0,5423.15,0,0,0,0,0,0,0,0,0,0,0,2537.37,0,0,0,3194.21,6988.84,0,0,0,0,0,0,1917.09,0,3508.66,0,0,0,1288.55,0,0,0,0,0,0,0,4395.26,0,0,0,905,0,0,0,5010.65,2623.76,0,0,0,0,0,0,116,0,0,6231.89,0,14683.88,0,0,0,0,1887.32,1796.03,0,969.38,0,0,0,452.7,0,0,0,0,1347.06,0,0,0,0,0,0,0,0,0,0,0,7307.64,0,0,1412.02,5177.43,0,2256.6,0,362.59,0,0,0,0,0,97147.77
,,,,Water and sewer,0,806.35,4097.03,0,3679.02,2070.99,0,0,3817.41,8174.06,0,2612.17,0,0,0,2435.1,0,8326.99,0,0,0,3579.08,0,0,2434.4,0,0,390.27,0,0,0,0,0,0,0,0,0,2316.32,0,0,0,0,0,641.08,0,0,0,0,0,12526.88,0,0,0,4928.64,3815.67,0,0,0,0,0,0,7001.59,295.43,548.1,0,0,0,667.47,0,0,830.47,0,0,0,0,7653.86,0,0,0,747.05,0,6371.77,0,6540.5,3519.18,9818.45,652.46,0,0,0,0,233.6,0,0,8725.08,0,4812.96,0,0,0,0,0,4720.95,0,0,0,0,0,957.93,0,0,0,0,1539.33,0,0,0,0,0,0,0,0,0,0,0,15649.19,0,0,4312.02,8085.95,0,2971.41,0,1822.85,972.57,0,0,0,0,166101.63
,,,,UTILITIES. - Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Total UTILITIES.,,0,10122.53,72098.21,0,34844.62,20395.09,0,0,21326.74,39566.62,0,9035.28,0,0,0,15694.88,0,75966.48,0,0,0,23553.92,0,149,7165.38,0,2422.44,3331.45,0,0,0,240,0,0,981.34,0,0,29318.45,0,0,0,0,0,5813.12,0,1667.61,0,0,0,49022.41,0,0,0,44561.38,27859.89,0,0,2024.42,0,0,0,34759.52,5452.63,17504.02,0,1764.48,0,6488.87,0,0,12081.86,0,0,0,0,49709.61,0,1045.98,0,39325.74,0,12443.93,0,35257.82,31396.89,40899.5,10079.02,0,0,0,0,6305.25,0,0,39745.5,0,42743.13,0,0,0,0,1887.32,25109.72,0,8914.95,0,0,0,5057.37,0,0,0,0,9750.57,0,0,0,7376.62,0,0,0,0,0,0,0,40921.22,0,0,38435.78,56704.44,0,23149.2,0,15855.51,9811.16,0,0,0,0,1127138.87
,,,Z Contra Account,,0,0,-5534,0,0,-4110,0,0,0,0,0,0,0,0,0,0,0,-4207.34,0,0,0,-1952.3,0,0,0,0,0,-2297.53,0,-2907.56,0,0,0,0,0,0,0,-13668.75,0,0,0,0,0,0,0,0,0,0,0,-6723,0,0,0,0,0,0,0,-10308.87,0,0,0,0,-4250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2343.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20000,2328.82,0,0,0,0,0,0,0,-3301.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15000,0,0,-7900,0,0,0,0,0,0,0,-102175.37
,,Total Expense,,,-30309.4,54224.87,1165425.31,2309.57,395326.16,146259.51,5295.87,515.75,329707.25,1135246.37,22592.09,163503.33,2667.55,961.74,7325.04,322267.29,17716.78,833838.79,1221.16,2661.04,10784.69,339158.37,12832.78,1753.13,84199.82,5265.57,14518.74,33434.69,43488.57,3154.07,15038.3,12533.13,2156.77,12273.09,12160.24,3520.25,4895.92,538981.88,12294.96,16935.71,2633.9,11823.58,13494.29,46433.02,5246.54,2185.4,3103.19,6961.76,10772.91,735220.21,7639.17,5279.56,9564,622778.75,403048.11,4382.83,7796.32,10328.31,1980.19,3007.38,5392.77,560188.49,61657.53,252849.08,1052.31,18141.39,2583.1,75238.92,2735.15,5193.16,145104.4,7734.3,1536.72,5033.3,29620.88,549606.85,3971.97,187100.45,5152.37,670408.92,6875.35,107270.21,28662.36,699851.07,399119.56,353395.6,199977.46,413.44,2518.23,6851.73,2361.35,96104.29,2146.94,5122.72,452631.67,16890.5,480800.99,12425.75,10973.82,4693.43,17587.69,16814.14,257824.02,5846.92,152496.46,1501.71,4713.33,17660.24,59127.4,2002.75,2001.78,4211.22,5735.07,90265.8,1459.13,31858.47,3303.42,49087.29,5428.36,871.58,7183.85,7956.01,2188.64,2089.91,5366.55,703346.48,3947.43,3539.26,805598.18,1002272.85,5968.85,436996.16,4456.86,259129.83,107079.06,270,0,0,38645.08,17277036.48
